title,link,metadata
YLUA Style A Air-Cooled Scroll Compressor Condensing Units,/viewer/document/l370Ao1a_CD0P8RTz1mqbQ,"Business: Chillers,Brand: YORK,Category: Condensing Unit,Product: YLUA,Document Revision: 915,Document Type: Engineering Guide,Document Number: 150.73-EG1"
"HT Hermetic TurboPak Liquid Chiller 90 thru 640 ton, HT90, HT100, HT110, HT120, HT130, HT150, HT170, HT200, HT230, HT260, HT290, HT320, HT350, HT360, HT390, HT430, HT470, HT510, HT560, HT610, HT640",/viewer/document/Mq0ShO_aEIIdTXs181P52A,"Business: Chillers,Brand: YORK,Category: Centrifugal,Product: HT,Document Revision: 372,Document Type: Operation Guide,Document Number: 160.42-OM1"
160.41-RP1.5.pdf,/viewer/document/DUSTlkI_0Lrvb6ude9QOEw,
160.41-RP1.6.pdf,/viewer/document/oJBpdxq2VrlApIGvdpqDEA,
PENN Connected BT1 Bluetooth Thermometer Catalog Page,/reader/PZiJR2dcs6MQX2yFg8i7yQ/root,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Series P315PR Controllers,/viewer/document/QKipCV_oOS17tHPgIxEFGQ,"Product code: P315PR/RM (other choices available),Business: Building Automation and Controls,Brand: PENN Controls,Category: Single‐Phase Motor Speed Controller,Series: Series P315,Document Revision: J (other choices available),Document Type: Global Safety Data Sheet,Part Number: 24-1060-717"
Contact information,/reader/PZiJR2dcs6MQX2yFg8i7yQ/gmyqtWrswf_MP8PgBEOe6w,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Single point of contact,/reader/PZiJR2dcs6MQX2yFg8i7yQ/jyau_ldTFyYzVaTfY0VM_w,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Patents,/reader/PZiJR2dcs6MQX2yFg8i7yQ/ovJiTNucCuMYoz8S1V81ug,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Software terms,/reader/PZiJR2dcs6MQX2yFg8i7yQ/jOxTXJM8AwJ1HB_n~OB8cQ,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Product warranty,/reader/PZiJR2dcs6MQX2yFg8i7yQ/TwqnLaXk3opq7kvPKw5zLg,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
BT1 Bluetooth Thermometer technical specifications,/reader/PZiJR2dcs6MQX2yFg8i7yQ/_elRk_moWxmJ056NWjmPOA,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Repair information,/reader/PZiJR2dcs6MQX2yFg8i7yQ/LhRt_jLFQGOYEBHqS8sVxA,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Ordering information,/reader/PZiJR2dcs6MQX2yFg8i7yQ/wFLRnbw1dRDVqLPwSULArg,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Applications,/reader/PZiJR2dcs6MQX2yFg8i7yQ/ARKphCJkqcJEDO_KY6zNgw,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Features,/reader/PZiJR2dcs6MQX2yFg8i7yQ/ppSWBlPMDyrDQ9ySg6hNZQ,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
Description,/reader/PZiJR2dcs6MQX2yFg8i7yQ/FbU_K~KobHdSCPjLJ1SFyg,"Product code: PCFS-BT1,Business: Building Automation and Controls,Brand: PENN Controls,Category: PENN Connected,Product: PENN Connected Bluetooth Thermometer,Document Type: Catalog Page,Document Number: LIT-1901134"
"106-130 Ton, Full Perimeter Roof Curb Installation Instructions for Series 100 Packaged Rooftop Units",/viewer/document/QnkmSbyuqT15K6k_DIWiZA,"Business: Applied Ducted Systems,Brand: Johnson Controls,Category: Applied Packaged Rooftop Units, Series 100 Packaged Rooftop Units,Product: Series 100 (YPAL),Document Type: Installation Guide,Document Number: 100.50-N22 (208)"
"106-130 Ton, Open Condenser End Roof Curb Installation Instructions for Series 100 Packaged Rooftop Units",/viewer/document/fAMNE_fYFaiCUy8lHAxURw,"Business: Applied Ducted Systems,Brand: Johnson Controls,Category: Applied Packaged Rooftop Units, Series 100 Packaged Rooftop Units,Product: Series 100 (YPAL),Document Type: Installation Guide,Document Number: 100.50-N21(208)"
"106-130 Tons, Mod E, Eco2 Single Packaged Rooftop Units, R-22 Installation, Operation, and Maintenance Manual",/viewer/document/xLE48mA5godfHZjcnWpzXg,"Business: Applied Ducted Systems,Brand: YORK,Category: Applied Packaged Rooftop Units, Series 100 Packaged Rooftop Units,Product: Series 100 (YPAL),Document Type: Installation Guide,Document Number: 100.50-NOM3 (109)"
"120-150 Tons, Mod F, Series 100 Single Packaged Rooftop Units Installation, Operation, and Maintenance Manual",/viewer/document/~6kOXz2TlqNoTDiKhe4N5w,"Business: Applied Ducted Systems,Brand: Johnson Controls,Category: Applied Packaged Rooftop Units, Series 100 Packaged Rooftop Units,Product: Series 100 (YPAL),Document Type: Installation Guide,Document Number: 100.50-NOM10 (416)"
"120-150 Tons, Mod G (Current), Series 100 Single Package Rooftop Units Engineering Guide",/viewer/document/53~8njCvpDwRrgnTmJsxOg,"Business: Applied Ducted Systems,Brand: Johnson Controls,Category: Applied Packaged Rooftop Units, Series 100 Packaged Rooftop Units,Product: Series 100 (YPAL),Document Type: Engineering Guide,Document Number: 100.50-EG11 (1119)"
"120-150 Tons, Mod G (Current), Series 100 Single Packaged Rooftop Units Installation, Operation, and Maintenance Manual",/viewer/document/NM9Ffc7gf1w9ZMGJ4IEBhQ,"Business: Applied Ducted Systems,Brand: Johnson Controls,Category: Applied Packaged Rooftop Units, Series 100 Packaged Rooftop Units,Product: Series 100 (YPAL),Document Type: Installation Guide,Document Number: 100.50-NOM11 (120)"
"25-40 Tons, Millenium Packaged Rooftop Units with Optilogic Control Supplement, R-410A Only, Gen 3 Installation, Operation, and Maintenance Manual",/viewer/document/Yshr8ep9mcFy0pUR9pyUrA,"Business: Applied Ducted Systems,Brand: YORK,Category: Applied Packaged Rooftop Units,Product: Millenium,Document Type: Installation Guide,Document Number: 100.50-NOM7 (808)"
"25-40 Tons, Mod F, Millenium Packaged Rooftop Units with Optilogic Control Supplement, R-22 Only, Gen 3 Installation, Operation, and Maintenance Manual",/viewer/document/T_DJLM1IWRH59nzMgPimRA,"Business: Applied Ducted Systems,Brand: YORK,Category: Applied Packaged Rooftop Units,Product: Millenium,Document Type: Installation Guide,Document Number: 100.50-NOM2 (808)"
